IRI,LABEL,LOCAL,TYPE,SOURCE,LINK,ALT_LABELS,SYNONYMS,COMMENT
http://purl.obolibrary.org/obo/STATO_0000305,Helmert contrast,STATO_0000305,Class,Ontology : stato,ontologies/stato/,,,
https://orcid.org/0000-0002-9014-2920,Henk Birkholz,0000-0002-9014-2920,Entity,Ontology : pmdcore,ontologies/pmdcore/,,,
http://emmo.info/emmo#EMMO_fab003c8_f7a6_4346_9988_7161325ed7a3,Henry,EMMO_fab003c8_f7a6_4346_9988_7161325ed7a3,Class,Ontology : GPO,ontologies/GPO/,,,Measurement unit for electrical inductance.
http://purl.obolibrary.org/obo/STATO_0000544,heritability,STATO_0000544,Class,Ontology : stato,ontologies/stato/,,,
https://w3id.org/pmd/co/Manufacturer,Hersteller,Manufacturer,Class,Ontology : pmdcore,ontologies/pmdcore/,,,
http://emmo.info/emmo#EMMO_e75f580e_52bf_4dd5_af70_df409cec08fd,Hertz,EMMO_e75f580e_52bf_4dd5_af70_df409cec08fd,Class,Ontology : GPO,ontologies/GPO/,,,Measurement unit for frequence.
http://purl.obolibrary.org/obo/STATO_0000363,heterogeneous compound symmetry covariance structure,STATO_0000363,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000366,heterogeneous first-order autoregressive covariance structure,STATO_0000366,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000355,heterogeneous Toeplitz covariance structure,STATO_0000355,Class,Ontology : stato,ontologies/stato/,,,
http://emmo.info/emmo#EMMO_50967f46_51f9_462a_b1e4_e63365b4a184,Heteronuclear,EMMO_50967f46_51f9_462a_b1e4_e63365b4a184,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.obolibrary.org/obo/OBI_0200042,hierarchical clustering,OBI_0200042,Class,Ontology : stato,ontologies/stato/,,,
http://emmo.info/emmo#EMMO_676a29e6_d4e1_4b54_8961_25947bd20861,HIggsBoson,EMMO_676a29e6_d4e1_4b54_8961_25947bd20861,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.obolibrary.org/obo/STATO_0000239,high throughput screening,STATO_0000239,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000238,high-content screening,STATO_0000238,Class,Ontology : stato,ontologies/stato/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HighCycleFatigueTest,HighCycleFatigueTest,HighCycleFatigueTest,Class,Ontology : BWMD,ontologies/BWMD/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HighPurityAluminiumMaterial,HighPurityAluminiumMaterial,HighPurityAluminiumMaterial,Class,Ontology : BWMD,ontologies/BWMD/,,,A high purity aluminium material
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HighPurityNickelMaterial,HighPurityNickelMaterial,HighPurityNickelMaterial,Class,Ontology : BWMD,ontologies/BWMD/,,,
